"Township","Area","State","Primary_Type","Multi_Type","Primary_Tenure","Median_PSF","Transactions","Actual","Predicted"
"kelana d'putera","kelana jaya","selangor","condominium",0,0,341.999999999998,14,399999.999999992,380540.233931346
"abadi indah","taman desa","kuala lumpur","apartment",0,0,326.999999999999,14,299999.999999989,380540.233931346
"taman daya","kepong","selangor","terrace house",0,0,515.000000000002,13,550000.000000025,601410.668601714
"taman berkeley","kapar","selangor","bungalow",1,1,275,13,540000.000000024,368168.862766419
"p/l143461 seri mahkota damai fasa 6","kuantan","pahang","terrace house",0,1,143,13,235999.999999989,257442.799087684
"taman bukit rangin 3","kuantan","pahang","terrace house",0,0,167.000000000001,13,209999.999999999,257442.799087684
"ttdi jaya","shah alam","selangor","terrace house",0,1,382.000000000002,13,600000.000000009,601410.668601714
"taman bayu indera, lukut","port dickson","negeri sembilan","terrace house",0,1,200.000000000001,13,304999.999999985,368168.862766419
"taman pauh jaya","perai","penang","terrace house",0,1,399.999999999999,13,589999.999999999,601410.668601714
"desa pengkalan bersatu","ipoh","perak","terrace house",0,0,240.999999999999,13,309799.999999998,368168.862766419
"taman jati","rawang","selangor","terrace house",0,0,293.000000000001,13,299999.999999989,368168.862766419
"perkampungan sri mahkota aman","kuantan","pahang","terrace house",0,1,156,13,250000.000000004,257442.799087684
"taman bendahara","kuala selangor","selangor","semi d",1,1,214.999999999999,13,449999.999999999,368168.862766419
"taman kobena","tampoi","johor","terrace house",0,0,206,13,330000.000000012,368168.862766419
"taman semarak ii","nilai","negeri sembilan","terrace house",0,1,195.000000000001,13,299999.999999989,257442.799087684
"tropicana bay residences","bayan lepas","penang","condominium",0,1,687.999999999997,13,595000.00000002,919891.984987014
"seri jati","setia alam","selangor","apartment",0,1,397,13,325000.000000008,380540.233931346
"valencia apartment","shah alam","selangor","apartment",0,0,178.999999999999,13,170000,257442.799087684
"larkin heights","johor bahru","johor","service residence",0,0,387.999999999999,13,387999.999999996,380540.233931346
"the clovers","bayan lepas","penang","condominium",0,1,472.000000000002,13,620000.000000015,380540.233931346
"kiaraville","mont kiara","kuala lumpur","condominium",0,1,666.999999999997,13,1300000.00000005,919891.984987014
"beverly hills 1","kota kinabalu","sabah","apartment",0,0,352.000000000001,13,265000.000000011,380540.233931346
"ketumbar heights","cheras","kuala lumpur","condominium",0,1,344.000000000001,13,297999.999999988,380540.233931346
"limau manis","bukit mertajam","penang","flat",0,1,220.999999999999,13,150000.000000001,155287.588965247
"taman intan baiduri","batu caves","kuala lumpur","flat",0,0,183,13,129999.999999998,155287.588965247
"lok kawi heights","papar","sabah","apartment",0,0,269,13,209999.999999999,368168.862766419
"pandora @ tropicana metropark","subang jaya","selangor","service residence",0,1,608.000000000002,13,509999.999999995,919891.984987014
"taman impian emas","tebrau","johor","flat",0,1,76.9999999999997,13,53000.0000000022,65346.6025552173
"bukit oug condominiums","bukit jalil","kuala lumpur","condominium",0,1,258.000000000001,13,319999.999999997,368168.862766419
"raintree park2","sungai bakap","penang","semi d",1,1,321.000000000001,12,526500.000000017,731320.085641864
"medan lapangan cyber","ipoh","perak","terrace house",1,0,262.999999999999,12,434500.000000007,368168.862766419
"t'lagenda@peramu (p/l 23051)","pekan","pahang","terrace house",0,1,184.000000000001,12,288000.000000005,257442.799087684
"lot 5330, gurney","sitiawan","perak","semi d",0,1,210,12,627999.999999977,368168.862766419
"laman permata","tebrau","johor","terrace house",0,1,563,12,788800.00000003,919891.984987014
"lex living","ipoh","perak","terrace house",0,1,323.000000000001,12,568880,601410.668601714
"taman desa tekkah sentosa","taiping","perak","terrace house",0,0,367,12,468799.999999981,601410.668601714
"bandar baru sungai udang","sungai udang","melaka","terrace house",0,0,193.000000000001,12,309999.999999991,257442.799087684
"alamanda parkland","serendah","selangor","terrace house",0,1,397,12,475000.00000001,601410.668601714
"taman manjung point seksyen 2(pl 12194)","lumut","perak","terrace house",1,1,238.000000000001,12,299999.999999989,368168.862766419
"shah alam utama","shah alam","selangor","terrace house",0,0,559.999999999997,12,1073249.99999999,919891.984987014
"taman sinar mentari","bedong","kedah","terrace house",0,1,149,12,235000.000000001,257442.799087684
"taman bukit panchor","nibong tebal","penang","terrace house",0,1,299.000000000001,12,374160.000000012,368168.862766419
"taman meru makmur","kapar","selangor","terrace house",1,1,232,12,543000.000000015,368168.862766419
"taman arkid","menglembu","perak","terrace house",0,0,239,12,250000.000000004,368168.862766419
"taman teluk villa","penampang","sabah","terrace house",0,0,255.999999999999,12,432500.000000012,368168.862766419
"taman seri jaromas","jenjarom","selangor","semi d",1,1,272.000000000001,12,789999.999999997,368168.862766419
"crystal creek resort","taiping","perak","condominium",0,1,220,12,299999.999999989,368168.862766419
"idaman lavender 3","sungai ara","penang","apartment",0,1,451.999999999999,12,339999.999999985,380540.233931346
"seroja","setia alam","selangor","flat",0,1,300,12,200000.000000005,155287.588965247
"palm court condominium","brickfields","kuala lumpur","condominium",0,0,387.999999999999,12,367499.99999999,380540.233931346
"the vyne","sungai besi","kuala lumpur","condominium",0,0,540,12,467500.00000001,919891.984987014
"sierra east","relau","penang","condominium",0,1,565.999999999999,12,786500.000000023,919891.984987014
"cyber heights villa","cyberjaya","selangor","condominium",0,1,284.000000000001,12,364315.000000006,368168.862766419
"wisma 2020","muar","johor","apartment",0,1,220,12,155000.000000002,368168.862766419
"subang perdana goodyear court 6","subang jaya","selangor","apartment",0,1,345,12,282499.999999991,380540.233931346
"kl traders square","setapak","kuala lumpur","service residence",0,1,532.999999999997,12,499999.999999986,919891.984987014
"the peak residences","tanjong tokong","penang","condominium",0,1,543.999999999998,12,569999.999999981,919891.984987014
"taman mosey hill","ipoh","perak","terrace house",0,0,211.000000000001,11,399879.999999993,368168.862766419
"taman cempaka perdana","senawang","negeri sembilan","terrace house",0,0,244,11,397082.999999987,368168.862766419
"rendang exora (pec lot 24818)","pekan","pahang","terrace house",0,1,186,11,260000.000000009,257442.799087684
"taman pesona, sungai segamat","segamat","johor","terrace house",0,1,190.000000000001,11,363499.999999996,257442.799087684
"taman riang diawan","kampar","perak","terrace house",0,0,171,11,239800.000000012,257442.799087684
"taman serai merbau","bagan serai","perak","semi d",1,1,187.000000000001,11,317800.000000015,257442.799087684
"taman matang murni (pl 13411 - 13412)","simpang","perak","terrace house",0,1,187.000000000001,11,288000.000000005,257442.799087684
"taman amalina lestari","raub","pahang","terrace house",0,0,168,11,200000.000000005,257442.799087684
"sanctuary garden","bukit mertajam","penang","semi d",0,1,328.999999999999,11,860000.000000008,380540.233931346
"taman abadi heights","puchong","selangor","semi d",1,0,537.999999999998,11,756000.000000023,919891.984987014
"taman wawasan / bandar baru mersing","mersing","johor","terrace house",0,1,214,11,260000.000000009,368168.862766419
"taman parit bakar indah-tr.149","muar","johor","terrace house",0,1,281.999999999999,11,498000.000000005,368168.862766419
"taman villa mutiara indah","sungai bakap","penang","semi d",1,1,245.999999999999,11,669999.999999968,368168.862766419
"taman seri bayu 2","sungai petani","kedah","terrace house",0,1,155.000000000001,11,175000.000000008,257442.799087684
"seksyen 19 shah alam","shah alam","selangor","terrace house",0,0,321.000000000001,11,449999.999999999,601410.668601714
"taman impian alma","bukit mertajam","penang","terrace house",0,1,268.000000000001,11,399999.999999992,368168.862766419
"taman rimba (pec lot 1135)","mentakab","pahang","terrace house",0,1,186,11,137000.000000005,257442.799087684
"taman sekiah makmur","ulu bernam","perak","terrace house",0,0,178.999999999999,11,260000.000000009,257442.799087684
"bandar seri botani","batu gajah","perak","terrace house",0,1,319.999999999999,11,825509.999999976,601410.668601714
"taman damai impian 2","kuala lipis","pahang","terrace house",0,1,202.000000000001,11,289000.000000009,368168.862766419
"bunga raya","bukit baru","melaka","terrace house",0,1,168.999999999999,11,299999.999999989,257442.799087684
"taman bunga raya","sungai petani","kedah","terrace house",1,1,131,11,229999.999999992,257442.799087684
"taman rimba (pec lot 3021)","mentakab","pahang","terrace house",0,1,184.999999999999,11,307999.999999996,257442.799087684
"taman cempakasari","kapar","selangor","terrace house",0,0,276,11,360000.000000003,368168.862766419
"taman setia jaya","batu pahat","johor","terrace house",0,1,234,11,380000.000000012,368168.862766419
"taman impian indah","bukit mertajam","penang","terrace house",0,1,310,11,374999.999999982,368168.862766419
"taman pulai bayu","skudai","johor","semi d",1,1,264.000000000001,11,899999.999999958,368168.862766419
"taman intan baiduri","batu caves","kuala lumpur","terrace house",0,0,442.000000000001,11,819999.999999971,601410.668601714
"taman pulai flora","skudai","johor","cluster house",1,1,357,11,600000.000000009,731320.085641864
"taman saga","senai","johor","terrace house",0,1,259.000000000001,11,269999.999999997,368168.862766419
"taman anggerik","tampoi","johor","terrace house",0,1,357,11,334999.999999999,601410.668601714
"miharja (lrt maluri)","cheras","kuala lumpur","flat",0,0,305,11,245000.000000009,155287.588965247
"d'rich executive suites","iskandar puteri (nusajaya)","johor","apartment",0,1,418.000000000001,11,399999.999999992,380540.233931346
"sri alam condominium","shah alam","selangor","condominium",0,0,324,11,449999.999999999,380540.233931346
"abadi villa","taman desa","kuala lumpur","condominium",0,0,370,11,449999.999999999,380540.233931346
"bandar baru ampang","ampang","selangor","flat",0,0,243,11,139900.000000004,155287.588965247
"koi tropika","puchong","selangor","service residence",0,0,459.000000000002,11,469999.999999981,380540.233931346
"prai inai","perai","penang","apartment",0,1,313.999999999999,11,280000.000000004,368168.862766419
"the westside one","desa parkcity","kuala lumpur","condominium",0,1,786.999999999997,11,1380000.00000002,919891.984987014
"gemilang indah","jalan klang lama (old klang road)","kuala lumpur","condominium",0,1,313.999999999999,11,265000.000000011,368168.862766419
"p' residence","kuching","sarawak","condominium",0,0,407.999999999999,11,469999.999999981,380540.233931346
"lily & jasmine apartment","tampoi","johor","apartment",0,0,285,11,285000.000000004,368168.862766419
"d'piazza","bayan baru","penang","condominium",0,1,517.999999999998,11,484999.99999999,919891.984987014
"bistari lavender condominium","city centre","kuala lumpur","condominium",0,1,416.999999999999,11,460000.00000001,380540.233931346
"the wadihana","johor bahru","johor","condominium",0,1,302,11,528000.000000001,368168.862766419
"sri lempah","taman desa","kuala lumpur","flat",0,0,353.000000000001,11,196999.999999995,380540.233931346
"tiffani kiara","mont kiara","kuala lumpur","condominium",0,1,561.000000000002,11,1120000.00000003,919891.984987014
"casa desa","taman desa","kuala lumpur","condominium",0,1,442.000000000001,11,540000.000000024,380540.233931346
"widuri apartment","butterworth","penang","apartment",0,1,293.999999999999,11,220000,368168.862766419
"impian sentosa","klang","selangor","apartment",0,1,398.000000000001,11,299999.999999989,380540.233931346
"the rainz","bukit jalil","kuala lumpur","condominium",0,1,621.000000000001,11,949999.999999978,919891.984987014
"frinza court","johor bahru","johor","apartment",0,1,260.000000000001,11,350000.000000001,368168.862766419
"puncak seri kelana","ara damansara","selangor","condominium",0,0,399.999999999999,11,420000.00000002,380540.233931346
"ascenda residence @ skyarena","setapak","kuala lumpur","condominium",0,0,455,11,492999.999999987,380540.233931346
"taman desa duyung","duyong","melaka","terrace house",0,1,187.000000000001,10,245000.000000009,257442.799087684
"desa pantai indah","teluk kumbar","penang","terrace house",0,1,535.999999999999,10,750000.000000006,919891.984987014
"taman sering ukay","ulu klang","selangor","terrace house",0,1,611.000000000003,10,1260000.00000005,919891.984987014
"taman keramat permai","ulu klang","selangor","terrace house",0,0,451.999999999999,10,600000.000000009,601410.668601714
"bandar sejahtera fasa 3","pokok sena","kedah","cluster house",1,1,156,10,408899.999999986,257442.799087684
"taman seri sementa","kapar","selangor","terrace house",0,0,245.999999999999,10,332499.999999985,368168.862766419
"p/l : 2195 (pt24541-pt24570)","sungai karang","pahang","semi d",0,1,121,10,380000.000000012,257442.799087684
"idaman grand residence/sentosa idaman","klang","selangor","terrace house",0,1,531.999999999998,10,1205000.00000001,919891.984987014
"taman mh permatang badak fasa 6 (p/l30398)","kuantan","pahang","terrace house",1,1,184.000000000001,10,289000.000000009,257442.799087684
"taman rambai tengah sentosa","bukit rambai","melaka","semi d",0,1,126,10,422299.999999985,257442.799087684
"yarra park springfield","sungai petani","kedah","terrace house",0,1,233,10,357899.999999994,368168.862766419
"bb setia awan perdana residen 1","sitiawan","perak","cluster house",1,1,138.000000000001,10,220000,257442.799087684
"taman lukut era","lukut","negeri sembilan","terrace house",0,1,217,10,418000.000000003,368168.862766419
"taman pd restu","port dickson","negeri sembilan","terrace house",0,1,209,10,292045.000000001,368168.862766419
"glenmarie heights","tebrau","johor","terrace house",0,1,412.999999999999,10,906949.999999985,601410.668601714
"taman saujana seksyen 2 (taman setia)","bukit katil","melaka","semi d",1,1,136,10,200000.000000005,257442.799087684
"taman bercham raya","tambun","perak","terrace house",0,0,177,10,194000.000000007,257442.799087684
"taman lip sin","sungai dua","penang","terrace house",0,1,596,10,864999.999999986,919891.984987014
"taman delima","tebrau","johor","terrace house",1,1,255.999999999999,10,425000.000000019,368168.862766419
"taman bunga mawar","kuching","sarawak","terrace house",0,0,187.000000000001,10,245000.000000009,257442.799087684
"rpa rimba panjang","sungai siput","perak","terrace house",0,0,76.9999999999997,10,115000.000000002,100696.393896423
"setia impian 7","setia alam","selangor","semi d",0,1,472.999999999999,10,788999.999999992,380540.233931346
"taman sentosa impian","dengkil","selangor","semi d",0,1,233,10,910500,368168.862766419
"taman sri senai","senai","johor","terrace house",0,1,278.000000000001,10,280000.000000004,368168.862766419
"taman puncak jelapang maju","ipoh","perak","terrace house",1,0,195.000000000001,10,290000.000000013,257442.799087684
