"Township","Area","State","Median_Price","Median_PSF","Transactions","Multi_Type","Primary_Type","Freehold","Leasehold","Primary_Tenure","Log_Median_Price","Log_Median_PSF","Log_Transactions"
"bandar puteri hillpark","sungai petani","kedah",3e+05,162,26,0,"terrace house",1,0,1,12.6115377536383,5.08759633523238,3.25809653802148
"bandar baru putra","ipoh","perak",212500,159,26,0,"terrace house",1,1,1,12.2666972673466,5.06890420222023,3.25809653802148
"bandar baru kota putri","masai","johor",335000,391,26,0,"terrace house",1,0,1,12.7218858108072,5.96870755998537,3.25809653802148
"taman pelangi indah","tebrau","johor",904900,497,26,0,"terrace house",1,0,1,13.7155797193392,6.20859002609663,3.25809653802148
"taman putera/suria","johor bahru","johor",625000,343,26,0,"terrace house",1,0,1,13.3455069287185,5.83773044716594,3.25809653802148
"taman bukit cheng","cheng","melaka",370000,256,26,0,"terrace house",1,0,1,12.8212582846204,5.54517744447956,3.25809653802148
"taman bukit jaya","ulu tiram","johor",460000,310,26,0,"terrace house",1,0,1,13.0389817684653,5.73657229747919,3.25809653802148
"bandar puteri jaya seksyen 3","sungai petani","kedah",370000,118,26,1,"semi d",1,0,1,12.8212582846204,4.77068462446567,3.25809653802148
"amverton hills sungai buloh","sungai buloh","selangor",1703888,529,26,1,"semi d",1,0,1,14.3484232565117,6.2709884318583,3.25809653802148
"bandar tasik idaman","batu gajah","perak",440300,270,26,0,"terrace house",0,1,0,12.9952115917438,5.59842195899838,3.25809653802148
"taman angsamas","rasah","negeri sembilan",205000,172,26,0,"terrace house",1,0,1,12.2307652581205,5.14749447681345,3.25809653802148
"taman kenari fasa 1","kulim","kedah",3e+05,207,26,1,"semi d",1,0,1,12.6115377536383,5.33271879326537,3.25809653802148
"taman penaga mewah","ampangan","negeri sembilan",487910,349,26,0,"terrace house",1,0,1,13.0978862415972,5.85507192220243,3.25809653802148
"taman putra permai","seri kembangan","selangor",722500,342,26,0,"terrace house",0,1,0,13.4904726989687,5.8348107370626,3.25809653802148
"taman desaru utama","pengerang","johor",330000,251,26,1,"terrace house",0,1,0,12.7068479334427,5.52545293913178,3.25809653802148
"sky peak residences","tampoi","johor",445000,431,26,0,"service residence",1,0,1,13.0058295611484,6.06610809010375,3.25809653802148
"kondo rakyat","kuala ibai","terengganu",66500,106,26,0,"flat",0,1,0,11.1049572266439,4.66343909411207,3.25809653802148
"almyra residences","bangi","selangor",450400,471,26,0,"condominium",1,0,1,13.0178913558076,6.15485809401642,3.25809653802148
"uda utama","skudai","johor",6e+05,324,25,1,"terrace house",1,0,1,13.3046849341983,5.78074351579233,3.2188758248682
"taman bandar universiti parit raja","batu pahat","johor",326970,209,25,0,"terrace house",1,0,1,12.6976237025515,5.34233425196481,3.2188758248682
"taman nusari bayu 1","bandar sri sendayan","negeri sembilan",3e+05,207,25,0,"terrace house",1,0,1,12.6115377536383,5.33271879326537,3.2188758248682
"templer residence","rawang","selangor",837000,518,25,0,"terrace house",1,0,1,13.6375793494716,6.24997524225948,3.2188758248682
"taman ttdi grove","bangi","selangor",1068000,334,25,0,"semi d",1,0,1,13.8812982985023,5.8111409929767,3.2188758248682
"bk 8 - perumahan kinrara","bandar kinrara","selangor",2400000,610,25,1,"semi d",1,0,1,14.6909792953182,6.41345895716736,3.2188758248682
"taman mawar indah","raub","pahang",420000,131,25,0,"semi d",1,0,1,12.9480099902596,4.87519732320115,3.2188758248682
"seksyen 14","petaling jaya","selangor",715000,333,25,0,"terrace house",0,1,0,13.4800378216761,5.80814248998044,3.2188758248682
"taman perdana","simpang ampat","penang",575000,374,25,0,"terrace house",1,0,1,13.2621253197795,5.92425579741453,3.2188758248682
"taman psj","sungai karang","pahang",265000,206,25,1,"terrace house",1,0,1,12.4874851049684,5.32787616878958,3.2188758248682
"bandar mutiara","sungai petani","kedah",280000,186,25,1,"terrace house",1,0,1,12.5425448821514,5.2257466737132,3.2188758248682
"taman angkasa nuri","durian tunggal","melaka",280000,213,25,0,"terrace house",0,1,0,12.5425448821514,5.36129216570943,3.2188758248682
"taman ehsan","kepong","selangor",505000,305,25,0,"terrace house",0,1,0,13.1323137082575,5.72031177660741,3.2188758248682
"taman puteri jaya","batu pahat","johor",468000,286,25,1,"semi d",1,0,1,13.0562235748998,5.65599181081985,3.2188758248682
"bandar tropicana aman","tanjong duabelas","selangor",1300000,488,25,1,"semi d",0,1,0,14.0778748224318,6.19031540585315,3.2188758248682
"taman bukit teratai","ampang","selangor",505000,442,25,1,"terrace house",0,1,0,13.1323137082575,6.0913098820777,3.2188758248682
"permata apartment","bukit mertajam","penang",180000,288,25,0,"apartment",1,0,1,12.1007121298723,5.66296048013595,3.2188758248682
"savanna executive suite @ southville city","bangi","selangor",360000,376,25,0,"service residence",1,0,1,12.7938593104323,5.92958914338989,3.2188758248682
"idaman selasih","bayan lepas","penang",320000,472,25,0,"flat",1,0,1,12.6760762747759,6.15697898558556,3.2188758248682
"bandar tasik selatan (low cost)","bandar tasik selatan","kuala lumpur",190000,282,25,0,"flat",0,1,0,12.1547793511426,5.64190707093811,3.2188758248682
"pelangi utama","bandar utama","selangor",480000,460,25,0,"condominium",0,1,0,13.0815413828841,6.13122648948314,3.2188758248682
"jasa","skudai","johor",150000,244,25,0,"flat",0,1,0,11.9183905730784,5.4971682252932,3.2188758248682
"taman mutiara","labuan","labuan",130000,169,25,0,"flat",0,1,0,11.7752897294377,5.12989871492307,3.2188758248682
"taman sri tanjung","semenyih","selangor",296400,302,25,0,"apartment",1,0,1,12.5994651724041,5.71042701737487,3.2188758248682
"taman pulai utama","skudai","johor",150000,228,25,0,"flat",1,0,1,11.9183905730784,5.42934562895444,3.2188758248682
"taman pauh indah","perai","penang",185000,316,25,0,"flat",1,0,1,12.1281111040605,5.75574221358691,3.2188758248682
"pelangi damansara","bandar utama","selangor",450000,576,25,0,"apartment",0,1,0,13.0170028617465,6.35610766069589,3.2188758248682
"suriamas suites","johor bahru","johor",4e+05,426,25,0,"service residence",0,1,0,12.8992198260901,6.05443934626937,3.2188758248682
"trefoil","setia alam","selangor",3e+05,548,25,0,"service residence",1,0,1,12.6115377536383,6.30627528694802,3.2188758248682
"residensi adelia","bangi","selangor",350000,323,25,0,"condominium",1,0,1,12.7656884334656,5.77765232322266,3.2188758248682
"ss5 petaling jaya","petaling jaya","selangor",7e+05,378,24,0,"terrace house",1,0,1,13.4588356140255,5.93489419561959,3.17805383034795
"taman lavender heights","senawang","negeri sembilan",440000,232,24,0,"bungalow",1,0,1,12.9945300058944,5.44673737166631,3.17805383034795
"elemen @ 18, pengkalan","ipoh","perak",428000,168,24,0,"cluster house",0,1,0,12.9668784745639,5.12396397940326,3.17805383034795
"taman mawar","sandakan","sabah",325000,273,24,0,"terrace house",0,1,0,12.6915804613119,5.60947179518496,3.17805383034795
"taman satu krubong","krubong","melaka",685000,234,24,1,"terrace house",1,0,1,13.4371741172444,5.4553211153577,3.17805383034795
"taman inderawasih","perai","penang",514000,318,24,0,"terrace house",1,0,1,13.1499785444373,5.76205138278018,3.17805383034795
"bandar bukit mahkota","bangi","selangor",447500,337,24,1,"cluster house",1,0,1,13.011431816697,5.82008293035236,3.17805383034795
"taman bukit galena","seremban","negeri sembilan",492500,276,24,1,"terrace house",1,0,1,13.1072497395943,5.62040086571715,3.17805383034795
"taman nusantara prima","gelang patah","johor",675000,337,24,1,"cluster house",1,0,1,13.4224679698547,5.82008293035236,3.17805383034795
"taman nusa indah","iskandar puteri (nusajaya)","johor",650000,427,24,0,"terrace house",1,0,1,13.3847276418718,6.05678401322862,3.17805383034795
"taman banting baru","banting","selangor",315000,248,24,0,"terrace house",1,0,1,12.6603279178078,5.51342874616498,3.17805383034795
"taman jasmin","kajang","selangor",442000,357,24,0,"terrace house",1,0,1,12.9990651610598,5.87773578177964,3.17805383034795
"kinrara residence","puchong","selangor",1890000,717,24,1,"terrace house",0,1,0,14.4520873870358,6.57507584059962,3.17805383034795
"taman nuri","durian tunggal","melaka",699000,213,24,1,"cluster house",1,0,1,13.4574060212159,5.36129216570943,3.17805383034795
"taman nusa intan","ampangan","negeri sembilan",382500,231,24,0,"terrace house",1,0,1,12.8544839322487,5.44241771052179,3.17805383034795
"taman universiti indah","seri kembangan","selangor",582500,477,24,1,"terrace house",1,0,1,13.275084464422,6.16751649088834,3.17805383034795
"taman kerjasama","bukit baru","melaka",380000,245,24,0,"terrace house",1,0,1,12.8479265317026,5.50125821054473,3.17805383034795
"sri inderapura","kuantan","pahang",192500,150,24,1,"terrace house",0,1,0,12.16785143271,5.01063529409626,3.17805383034795
"taman bukit rangin perdana 1 & 2","kuantan","pahang",225000,173,24,0,"terrace house",0,1,0,12.3238556811866,5.15329159449778,3.17805383034795
"taman sri serdang","seri kembangan","selangor",420000,286,24,0,"terrace house",0,1,0,12.9480099902596,5.65599181081985,3.17805383034795
"seksyen 13 shah alam","shah alam","selangor",1750000,452,24,1,"bungalow",0,1,0,14.3751263458997,6.11368217983223,3.17805383034795
"bandar sultan sulaiman","kapar","selangor",260000,251,24,0,"terrace house",0,1,0,12.4684369099977,5.52545293913178,3.17805383034795
"taman mawar","serendah","selangor",398040,306,24,0,"terrace house",1,0,1,12.8943077817291,5.72358510195238,3.17805383034795
"tanjong pinang","tanjong tokong","penang",3450000,1146,24,0,"terrace house",1,0,1,15.0538847890075,7.04403289727469,3.17805383034795
"desa restu","sepang","selangor",575000,437,24,0,"terrace house",0,1,0,13.2621253197795,6.07993319509559,3.17805383034795
"country villas","bemban","melaka",645000,388,24,1,"semi d",0,1,0,13.3770055957779,5.96100533962327,3.17805383034795
"koi kinrara","puchong","selangor",560000,532,24,0,"service residence",1,0,1,13.2356920627113,6.27664348934164,3.17805383034795
"puncak erskine","tanjong tokong","penang",175000,290,24,0,"apartment",1,0,1,12.0725412529057,5.66988092298052,3.17805383034795
"subang perdana goodyear court 10","subang jaya","selangor",374000,368,24,0,"apartment",1,0,1,12.8320110763967,5.90808293816893,3.17805383034795
"the park residences 1","kampung kerinchi (bangsar south)","kuala lumpur",1180000,601,24,0,"condominium",0,1,0,13.9810249964418,6.39859493453521,3.17805383034795
"taman cendana","pasir gudang","johor",130000,251,24,0,"flat",0,1,0,11.7752897294377,5.52545293913178,3.17805383034795
"pangsapuri kasuarina","klang","selangor",380000,420,24,0,"apartment",1,0,1,12.8479265317026,6.04025471127741,3.17805383034795
"11 mont kiara @ mk11","mont kiara","kuala lumpur",2800000,839,24,0,"condominium",1,0,1,14.8451299751454,6.73221070646721,3.17805383034795
"taman desa chemor impian","chemor","perak",342240,244,23,0,"terrace house",0,1,0,12.7432675243162,5.4971682252932,3.13549421592915
"taman ypj punggai","pengerang","johor",278800,199,23,0,"terrace house",1,1,1,12.5382499578685,5.29330482472449,3.13549421592915
"pinggiran bayu (mantau)","rasah","negeri sembilan",488000,349,23,0,"terrace house",1,0,1,13.0980706848353,5.85507192220243,3.13549421592915
"rasah kemayan (kemayan country township)","rasah","negeri sembilan",620000,128,23,0,"bungalow",1,0,1,13.3374747570213,4.85203026391962,3.13549421592915
"lembah beringin","kuala kubu baru","selangor",155000,70,23,0,"terrace house",1,0,1,11.9511803959014,4.24849524204936,3.13549421592915
"seksyen 27 shah alam","shah alam","selangor",7e+05,376,23,1,"terrace house",1,0,1,13.4588356140255,5.92958914338989,3.13549421592915
"taman rapat permai","ipoh","perak",368000,223,23,0,"terrace house",0,1,0,12.8158382171511,5.40717177146012,3.13549421592915
"timur","bandar enstek","negeri sembilan",570000,264,23,0,"terrace house",1,0,1,13.2533916398107,5.57594910314632,3.13549421592915
"taman bukit rahman putra","sungai buloh","selangor",7e+05,424,23,1,"terrace house",1,0,1,13.4588356140255,6.04973345523196,3.13549421592915
"taman wira (rpa mergong)","alor setar","kedah",39600,38,23,0,"terrace house",1,0,1,10.5865843972426,3.63758615972639,3.13549421592915
"taman merdeka jaya (aeronotik taipan)","batu berendam","melaka",3e+05,227,23,0,"terrace house",0,1,0,12.6115377536383,5.4249500174814,3.13549421592915
"taman aman perdana","kapar","selangor",850000,321,23,0,"semi d",1,0,1,13.6529916284665,5.77144112313002,3.13549421592915
"setapak jaya","setapak","kuala lumpur",240000,385,23,0,"cluster house",0,1,0,12.3883942023241,5.95324333428778,3.13549421592915
"taman klebang jaya","chemor","perak",2e+05,167,23,0,"terrace house",0,1,0,12.2060726455302,5.11799381241676,3.13549421592915
"valencia","sungai buloh","selangor",2400000,570,23,1,"bungalow",1,1,1,14.6909792953182,6.3456363608286,3.13549421592915
"bandar baru kundang","rawang","selangor",642630,456,23,0,"terrace house",0,1,0,13.373324409915,6.12249280951439,3.13549421592915
"taman kelemak utama","alor gajah","melaka",398760,306,23,0,"terrace house",1,0,1,12.8961150111366,5.72358510195238,3.13549421592915
"seksyen 21","petaling jaya","selangor",763000,493,23,1,"terrace house",1,0,1,13.5450133102666,6.20050917404269,3.13549421592915
"bandar bukit tinggi","pandamaran","selangor",686000,455,23,0,"terrace house",1,0,1,13.438632906708,6.12029741895095,3.13549421592915
"amara","batu caves","selangor",430000,440,23,0,"service residence",1,0,1,12.9715404876697,6.08677472691231,3.13549421592915
"i-park apartment","sungai ara","penang",250000,375,23,0,"flat",1,0,1,12.4292161968444,5.92692602597041,3.13549421592915
"desa lembah permai","ampang","selangor",67000,102,23,0,"flat",0,1,0,11.1124478983731,4.62497281328427,3.13549421592915
"juta mines","seri kembangan","selangor",450000,370,23,0,"condominium",0,1,0,13.0170028617465,5.91350300563827,3.13549421592915
"beverly hills 2","kota kinabalu","sabah",3e+05,372,23,0,"apartment",0,1,0,12.6115377536383,5.91889385427315,3.13549421592915
"solaris dutamas","dutamas","kuala lumpur",9e+05,801,23,0,"service residence",1,0,1,13.7101500423064,6.68586094706836,3.13549421592915
"pangsapuri perdana villa","klang","selangor",3e+05,310,23,0,"apartment",1,0,1,12.6115377536383,5.73657229747919,3.13549421592915
"d'esplanade residence","johor bahru","johor",550000,673,23,0,"service residence",1,0,1,13.2176735572087,6.51174532964473,3.13549421592915
"the platino serviced apartment","tampoi","johor",601900,666,23,0,"service residence",1,0,1,13.3078465975359,6.50128967054039,3.13549421592915
"sri impian apartment","johor bahru","johor",280000,292,23,0,"apartment",0,1,0,12.5425448821514,5.67675380226828,3.13549421592915
"taman alor vista","bayan lepas","penang",2e+05,387,23,0,"apartment",1,0,1,12.2060726455302,5.95842469302978,3.13549421592915
"seremban putra","sikamat","negeri sembilan",185000,221,23,0,"apartment",1,0,1,12.1281111040605,5.39816270151775,3.13549421592915
"mutiara idaman 1","jelutong","penang",282000,452,23,0,"flat",0,1,0,12.5496623499203,6.11368217983223,3.13549421592915
"taman pandan indah","ampang","selangor",175000,264,23,0,"flat",0,1,0,12.0725412529057,5.57594910314632,3.13549421592915
"taman rasah jaya ii","rasah","negeri sembilan",235000,182,22,0,"terrace house",1,0,1,12.3673407931263,5.2040066870768,3.09104245335832
"rumah makmur kampung tiram","kuantan","pahang",80000,73,22,0,"terrace house",0,1,0,11.289781913656,4.29045944114839,3.09104245335832
"taman gopeng mewah","gopeng","perak",277235,167,22,0,"terrace house",0,1,0,12.5326208009537,5.11799381241676,3.09104245335832
"taman lang residences","ipoh","perak",459800,328,22,0,"terrace house",1,0,1,13.0385468913112,5.79301360838414,3.09104245335832
"astana park homes - villa natura","sungai petani","kedah",378000,202,22,1,"terrace house",1,0,1,12.8426494746017,5.30826769740121,3.09104245335832
"taman perpaduan koperasi","tambun","perak",342500,216,22,0,"terrace house",0,1,0,12.7440269366844,5.37527840768417,3.09104245335832
"glenmarie industrial park","glenmarie","selangor",1875000,617,22,1,"semi d",1,0,1,14.4441192173866,6.42486902390539,3.09104245335832
"desa setapak","wangsa maju","kuala lumpur",413500,659,22,0,"terrace house",1,0,1,12.9324127934459,6.49072353450251,3.09104245335832
"taman juasseh sentosa","juasseh","negeri sembilan",81500,67,22,0,"terrace house",1,0,1,11.308358299229,4.20469261939097,3.09104245335832
"taman desa","muar","johor",490000,295,22,0,"terrace house",1,0,1,13.1021606700868,5.68697535633982,3.09104245335832
"taman kampar putra","kampar","perak",259000,159,22,0,"terrace house",0,1,0,12.4645833406817,5.06890420222023,3.09104245335832
"taman merak","simpang ampat","penang",297500,291,22,0,"terrace house",1,0,1,12.6031695039678,5.67332326717149,3.09104245335832
"taman sri layang","mentakab","pahang",170000,160,22,0,"terrace house",1,0,1,12.0435537160324,5.07517381523383,3.09104245335832
"taman pusing permai","pusing","perak",273800,229,22,0,"terrace house",0,1,0,12.5201531918365,5.43372200355424,3.09104245335832
"desa coalfields","ijok","selangor",467500,324,22,0,"terrace house",1,0,1,13.0551546277109,5.78074351579233,3.09104245335832
"taman melati fasa ii","jenjarom","selangor",680000,419,22,0,"terrace house",1,0,1,13.4298480771523,6.03787091992214,3.09104245335832
"taman desa puteri","bahau","negeri sembilan",3e+05,179,22,0,"terrace house",1,0,1,12.6115377536383,5.18738580584075,3.09104245335832
"taman sejati kehijauan","klang","selangor",1138000,582,22,0,"terrace house",1,0,1,13.9447828936684,6.36647044773144,3.09104245335832
"usj 4","subang jaya","selangor",915000,499,22,0,"terrace house",1,0,1,13.7266793442577,6.21260609575152,3.09104245335832
"taman saujana rawang","rawang","selangor",521000,315,22,0,"terrace house",0,1,0,13.1635053207355,5.75257263882563,3.09104245335832
"behrang 2020 / taman wawasan","ulu bernam","perak",252500,198,22,0,"terrace house",1,0,1,12.4391665276976,5.28826703069454,3.09104245335832
"taman mentakab indah","mentakab","pahang",105500,101,22,0,"terrace house",1,0,1,11.5664662318983,4.61512051684126,3.09104245335832
"avira garden terraces @ medini","iskandar puteri (nusajaya)","johor",999000,569,22,0,"terrace house",1,0,1,13.8145100576307,6.34388043412633,3.09104245335832
"taman puchong perdana","puchong","selangor",375000,342,22,0,"terrace house",0,1,0,12.8346813049525,5.8348107370626,3.09104245335832
"taman pontian perdana","pontian","johor",541600,150,22,0,"bungalow",1,0,1,13.2022830005802,5.01063529409626,3.09104245335832
"bandar baru permas jaya","permas jaya","johor",172500,232,22,0,"flat",1,0,1,12.0581525154536,5.44673737166631,3.09104245335832
"bandar damai perdana (low cost)","cheras","selangor",457500,458,22,0,"condominium",1,0,1,13.0335321636977,6.12686918411419,3.09104245335832
"prima regency","johor bahru","johor",351500,332,22,0,"apartment",1,0,1,12.7699649902329,5.80513496891649,3.09104245335832
"seri semarak (asia heights)","ayer itam","penang",265000,425,22,0,"apartment",1,0,1,12.4874851049684,6.05208916892442,3.09104245335832
"jadite suites","kajang","selangor",688800,472,22,0,"service residence",1,0,1,13.4427062320957,6.15697898558556,3.09104245335832
"cyberia smart homes","cyberjaya","selangor",250000,238,22,0,"condominium",1,0,1,12.4292161968444,5.47227067367148,3.09104245335832
"rasah jaya flat","rasah","negeri sembilan",68000,102,22,0,"flat",1,0,1,11.1272629841582,4.62497281328427,3.09104245335832
"casa tiara serviced apartment","subang jaya","selangor",416500,550,22,0,"service residence",1,0,1,12.939641740589,6.30991827822652,3.09104245335832
"danga view apartment","tampoi","johor",420000,340,22,0,"apartment",1,0,1,12.9480099902596,5.82894561761021,3.09104245335832
"d'ambience residences (pangsapuri ikatan flora)","permas jaya","johor",339000,396,22,0,"service residence",1,0,1,12.7337553863626,5.98141421125448,3.09104245335832
"sri lanang","tebrau","johor",170000,226,22,0,"flat",1,0,1,12.0435537160324,5.42053499927229,3.09104245335832
"desa permai indah flat","sungai dua","penang",180000,328,22,0,"flat",0,1,0,12.1007121298723,5.79301360838414,3.09104245335832
"the heritage residence","seri kembangan","selangor",297500,379,22,0,"service residence",0,1,0,12.6031695039678,5.93753620508243,3.09104245335832
"taman pelangi","semenyih","selangor",450000,301,21,0,"terrace house",1,0,1,13.0170028617465,5.70711026474888,3.04452243772342
"setia eco glades","cyberjaya","selangor",1200000,513,21,1,"bungalow",1,0,1,13.9978321147582,6.24027584517077,3.04452243772342
"jalan jenderam-salak","dengkil","selangor",1438800,616,21,0,"cluster house",1,0,1,14.1793199908036,6.42324696353352,3.04452243772342
"kemuning utama, seksyen 32","shah alam","selangor",828000,501,21,0,"terrace house",1,0,1,13.6267684333674,6.21660610108486,3.04452243772342
"taman chepor mutiara","ipoh","perak",398000,235,21,1,"terrace house",0,1,0,12.8942072842666,5.45958551414416,3.04452243772342
"perumahan makmur kuala lanar indah jaya","kuala lipis","pahang",80000,61,21,0,"terrace house",0,1,0,11.289781913656,4.11087386417331,3.04452243772342
"taman cassia cempaka","batu kawan","penang",625320,395,21,1,"terrace house",1,0,1,13.3460187976913,5.97888576490112,3.04452243772342
"taman ekoflora","tebrau","johor",960000,530,21,1,"terrace house",1,0,1,13.774688563444,6.27287700654617,3.04452243772342
"taman seruling emas","sungai jawi","penang",325000,195,21,0,"terrace house",1,0,1,12.6915804613119,5.27299955856375,3.04452243772342
"taman bandar senawang","senawang","negeri sembilan",440000,246,21,0,"terrace house",1,0,1,12.9945300058944,5.50533153593236,3.04452243772342
"tunas mahkota","kuantan","pahang",195000,160,21,0,"terrace house",1,1,1,12.1807548375459,5.07517381523383,3.04452243772342
"taman desa bukit permata","kapar","selangor",460000,191,21,0,"terrace house",1,0,1,13.0389817684653,5.25227342804663,3.04452243772342
"taman raja muda musa ii","sitiawan","perak",288800,180,21,0,"terrace house",1,0,1,12.5734896860008,5.19295685089021,3.04452243772342
"taman putra perdana","puchong","selangor",450000,286,21,0,"terrace house",0,1,0,13.0170028617465,5.65599181081985,3.04452243772342
"desa lahat sri -wang","lahat","perak",318880,267,21,0,"terrace house",0,1,0,12.6725701354466,5.58724865840025,3.04452243772342
"taman saga","kulim","kedah",269500,166,21,1,"terrace house",1,0,1,12.5043236693312,5.11198778835654,3.04452243772342
"kuala besut","besut","terengganu",335000,190,21,1,"terrace house",1,0,1,12.7218858108072,5.24702407216049,3.04452243772342
"taman bukit kepayang","bukit kepayang","negeri sembilan",380000,231,21,0,"terrace house",1,0,1,12.8479265317026,5.44241771052179,3.04452243772342
"kampung padang 1","kuantan","pahang",170000,153,21,0,"terrace house",0,1,0,12.0435537160324,5.03043792139244,3.04452243772342
"taman pinji mewah","ipoh","perak",285000,171,21,1,"semi d",0,1,0,12.5602444592508,5.14166355650266,3.04452243772342
"taman sejahtera (spt)","bukit mertajam","penang",350000,297,21,0,"terrace house",1,0,1,12.7656884334656,5.6937321388027,3.04452243772342
"kepong garden","kepong","kuala lumpur",780000,434,21,0,"terrace house",1,0,1,13.5670491986658,6.07304453410041,3.04452243772342
"taman setapak (setapak garden)","setapak","kuala lumpur",6e+05,341,21,0,"terrace house",1,0,1,13.3046849341983,5.83188247728352,3.04452243772342
"wangsa melawati","wangsa maju","kuala lumpur",720000,578,21,0,"terrace house",1,0,1,13.4870064909922,6.35957386867238,3.04452243772342
"taman desa jaya","kepong","selangor",5e+05,349,21,0,"terrace house",0,1,0,13.1223633774043,5.85507192220243,3.04452243772342
"seksyen 5","petaling jaya","selangor",1700000,339,21,1,"bungalow",1,1,1,14.3461388090264,5.82600010738045,3.04452243772342
"taman klebang mutiara","ipoh","perak",3e+05,214,21,0,"terrace house",0,1,0,12.6115377536383,5.36597601502185,3.04452243772342
"bandar segamat baru","segamat","johor",220000,125,21,1,"bungalow",1,0,1,12.3013828253345,4.8283137373023,3.04452243772342
"taman bersatu (batas paip)","kuala kedah","kedah",2e+05,229,21,0,"terrace house",1,0,1,12.2060726455302,5.43372200355424,3.04452243772342
"taman lumut mewah 2","lumut","perak",418800,263,21,0,"terrace house",1,0,1,12.9451487579785,5.57215403217776,3.04452243772342
"bandar sierra puchong","puchong","selangor",1260000,571,21,1,"town house",0,1,0,14.0466222789277,6.34738920965601,3.04452243772342
"razaki","ipoh","perak",255000,157,21,1,"terrace house",0,1,0,12.4490188241406,5.05624580534831,3.04452243772342
"taman seri mengkuang","kuala selangor","selangor",342500,222,21,0,"terrace house",1,0,1,12.7440269366844,5.40267738187228,3.04452243772342
"taman rambai utama","tanjong minyak","melaka",240000,200,21,0,"terrace house",1,0,1,12.3883942023241,5.29831736654804,3.04452243772342
"taman pelangi indah, sitiawan","sitiawan","perak",480000,166,21,0,"semi d",1,0,1,13.0815413828841,5.11198778835654,3.04452243772342
"bayu puteri 2","johor bahru","johor",310000,343,21,0,"apartment",0,1,0,12.6443275764613,5.83773044716594,3.04452243772342
"straits view condominium","permas jaya","johor",495000,304,21,0,"condominium",1,0,1,13.1123130415508,5.71702770140622,3.04452243772342
"taman mount austin","tebrau","johor",250000,438,21,0,"flat",1,0,1,12.4292161968444,6.08221891037645,3.04452243772342
"pd perdana","port dickson","negeri sembilan",95000,126,21,0,"apartment",1,0,1,11.4616321705827,4.83628190695148,3.04452243772342
"seksyen 4 wangsa maju flat","wangsa maju","kuala lumpur",210000,398,21,0,"flat",0,1,0,12.2548628096996,5.98645200528444,3.04452243772342
"bayu puteri 3","johor bahru","johor",350000,372,21,0,"apartment",0,1,0,12.7656884334656,5.91889385427315,3.04452243772342
"seri maya condominium","ulu klang","selangor",530000,413,21,0,"condominium",1,0,1,13.1806322855283,6.02344759296103,3.04452243772342
"st regis","kl sentral","kuala lumpur",3715000,2264,21,0,"service residence",1,0,1,15.127889236134,7.72488843932307,3.04452243772342
"maxim citylights @ sentul kl","sentul","kuala lumpur",365000,371,21,0,"service residence",0,1,0,12.8076526325646,5.91620206260743,3.04452243772342
"bistari impian apartment","johor bahru","johor",360000,335,21,0,"apartment",0,1,0,12.7938593104323,5.81413053182507,3.04452243772342
"axis residence @ axis pandan","ampang","selangor",330000,352,21,0,"service residence",0,1,0,12.7068479334427,5.8636311755981,3.04452243772342
"taman seri janggus","bukit mertajam","penang",120000,186,21,0,"flat",1,0,1,11.6952470217642,5.2257466737132,3.04452243772342
"one foresta","bayan lepas","penang",450000,492,21,0,"condominium",1,0,1,13.0170028617465,6.19847871649231,3.04452243772342
"taman pakatan jaya","tambun","perak",302500,245,20,0,"terrace house",0,1,0,12.619836556453,5.50125821054473,2.99573227355399
"ss23 taman sea","petaling jaya","selangor",1372500,797,20,0,"terrace house",1,0,1,14.1321444523658,6.68085467879022,2.99573227355399
"kemuning utama, seksyen 33","shah alam","selangor",909000,465,20,1,"semi d",1,0,1,13.7201003731596,6.14203740558736,2.99573227355399
"taman akasia (acacia heights)","kluang","johor",610500,208,20,1,"cluster house",1,0,1,13.3220335725329,5.33753807970132,2.99573227355399
"taman puncak harmoni","kuala kangsar","perak",318000,196,20,0,"terrace house",1,0,1,12.6698066617623,5.27811465923052,2.99573227355399
"queensbury @ mahkota hills","lenggeng","negeri sembilan",529500,373,20,0,"terrace house",1,0,1,13.1796884440236,5.92157841964382,2.99573227355399
"bb setia awan perdana residen 7","sitiawan","perak",248000,129,20,0,"cluster house",1,0,1,12.4211840251471,4.85981240436167,2.99573227355399
"taman daiman jaya","kota tinggi","johor",776900,320,20,0,"cluster house",1,0,1,13.5630669209385,5.76832099579377,2.99573227355399
"polo park","johor bahru","johor",320000,272,20,0,"town house",1,0,1,12.6760762747759,5.605802066296,2.99573227355399
"perkampungan cenderawasih","kuantan","pahang",205000,217,20,0,"terrace house",0,1,0,12.2307652581205,5.37989735354046,2.99573227355399
"bandar baru tangkak","tangkak","johor",288800,107,20,1,"terrace house",1,0,1,12.5734896860008,4.67282883446191,2.99573227355399
"taman zamrud","parit buntar","perak",366075,191,20,0,"terrace house",1,1,1,12.8105935094235,5.25227342804663,2.99573227355399
"taman hijrah","kapar","selangor",450000,355,20,0,"terrace house",1,0,1,13.0170028617465,5.87211778947542,2.99573227355399
"taman semarang intan","dengkil","selangor",669600,321,20,0,"terrace house",1,1,1,13.4144357981574,5.77144112313002,2.99573227355399
"taman limbongan permai","klebang","melaka",289000,187,20,0,"terrace house",1,0,1,12.5741819670946,5.23110861685459,2.99573227355399
